id, firstname, lastname, phoneNumber, email, stage, sourceId, managerId, createdAt, enteredAt
0000000000000001,Александр,Иванов,+79990000001,alexander.ivanov@example.com,new,00000001,00000001,2026-02-01T12:30:00Z,2026-02-01T12:30:00Z
0000000000000002,Дмитрий,Смирнов,+79990000002,dmitriy.smirnov@nomail.test,qualified,00000002,00000002,2026-01-10T13:30:12Z,2026-01-13T13:30:12Z
0000000000000003,Максим,Кузнецов,+79990000003,maxim.kuznetsov@nomail.test,proposal,00000003,00000003,2026-01-15T10:05:20Z,2026-01-18T11:02:07Z
0000000000000004,Иван,Попов,+79990000004,ivan.popov@nomail.test,won,00000004,00000004,2026-01-20T14:40:12Z,2026-01-25T09:15:33Z
0000000000000005,Сергей,Васильев,+79990000005,sergey.vasiliev@nomail.test,lost,00000005,00000005,2026-01-25T08:22:50Z,2026-01-27T12:45:01Z
0000000000000006,Андрей,Петров,+79990000006,andrey.petrov@nomail.test,new,00000006,00000006,2026-02-01T07:05:05Z,2026-02-01T07:05:29Z
0000000000000007,Алексей,Соколов,+79990000007,aleksey.sokolov@nomail.test,qualified,00000007,00000007,2026-02-05T16:44:12Z,2026-02-05T19:10:45Z
0000000000000008,Артём,Михайлов,+79990000008,artem.mikhailov@nomail.test,proposal,00000008,00000008,2026-02-10T11:11:11Z,2026-02-12T09:00:05Z
0000000000000009,Михаил,Новиков,+79990000009,mikhail.novikov@nomail.test,won,00000009,00000009,2026-02-15T20:20:20Z,2026-02-20T08:33:12Z
0000000000000010,Никита,Фёдоров,+79990000010,nikita.fedorov@nomail.test,lost,00000010,00000010,2026-02-20T13:00:00Z,2026-02-22T15:44:55Z
0000000000000011,Роман,Морозов,+79990000011,roman.morozov@nomail.test,new,00000011,00000011,2026-02-25T09:09:09Z,2026-02-25T09:09:14Z
0000000000000012,Егор,Волков,+79990000012,egor.volkov@nomail.test,qualified,00000012,00000012,2026-03-01T18:30:42Z,2026-03-01T22:45:01Z
0000000000000013,Павел,Алексеев,+79990000013,pavel.alekseev@nomail.test,proposal,00000013,00000013,2026-03-03T06:12:33Z,2026-03-06T08:10:05Z
0000000000000014,Тимофей,Лебедев,+79990000014,timofey.lebedev@nomail.test,won,00000014,00000014,2026-03-05T12:00:00Z,2026-03-10T09:22:11Z
0000000000000015,Владислав,Семёнов,+79990000015,vladislav.semyonov@nomail.test,lost,00000015,00000015,2026-03-08T14:55:30Z,2026-03-10T18:00:00Z
0000000000000016,Денис,Егоров,+79990000016,denis.egorov@nomail.test,new,00000016,00000016,2026-01-10T07:07:07Z,2026-01-10T07:07:12Z
0000000000000017,Константин,Павлов,+79990000017,konstantin.pavlov@nomail.test,qualified,00000017,00000017,2026-01-15T08:08:08Z,2026-01-15T12:30:00Z
0000000000000018,Виктор,Козлов,+79990000018,viktor.kozlov@nomail.test,proposal,00000018,00000018,2026-01-20T09:09:09Z,2026-01-22T10:10:10Z
0000000000000019,Олег,Степанов,+79990000019,oleg.stepanov@nomail.test,won,00000019,00000019,2026-01-25T10:10:10Z,2026-01-28T11:11:11Z
0000000000000020,Илья,Николаев,+79990000020,ilya.nikolaev@nomail.test,lost,00000020,00000020,2026-02-01T11:11:11Z,2026-02-03T09:09:09Z
0000000000000021,Владимир,Орлов,+79990000021,vladimir.orlov@nomail.test,new,00000001,00000002,2026-02-05T12:12:12Z,2026-02-05T12:12:20Z
0000000000000022,Мария,Антонов,+79990000022,maria.antonov@nomail.test,qualified,00000002,00000003,2026-02-10T13:13:13Z,2026-02-10T17:30:33Z
0000000000000023,Елена,Тихонов,+79990000023,elena.tikhonov@nomail.test,proposal,00000003,00000004,2026-02-15T14:14:14Z,2026-02-17T09:10:10Z
0000000000000024,Анна,Беляев,+79990000024,anna.belyaev@nomail.test,won,00000004,00000005,2026-02-20T15:15:15Z,2026-02-26T10:00:00Z
0000000000000025,Ольга,Зайцев,+79990000025,olga.zaicev@nomail.test,lost,00000005,00000006,2026-02-25T16:16:16Z,2026-02-27T14:25:30Z
0000000000000026,Наталья,Киселёв,+79990000026,natalya.kiselev@nomail.test,new,00000006,00000007,2026-03-01T17:17:17Z,2026-03-01T17:17:22Z
0000000000000027,Татьяна,Григорьев,+79990000027,tatiana.grigorev@nomail.test,qualified,00000007,00000008,2026-03-03T18:18:18Z,2026-03-03T22:20:00Z
0000000000000028,Юлия,Денисов,+79990000028,yulia.denisov@nomail.test,proposal,00000008,00000009,2026-03-05T19:19:19Z,2026-03-08T08:08:08Z
0000000000000029,Светлана,Мартынов,+79990000029,svetlana.martynov@nomail.test,won,00000009,00000010,2026-03-08T20:20:20Z,2026-03-12T12:12:12Z
0000000000000030,Ксения,Ершов,+79990000030,kseniya.ershov@nomail.test,new,00000010,00000011,2026-01-10T06:06:06Z,2026-01-10T06:06:10Z
0000000000000031,Виктория,Крылов,+79990000031,viktoria.krylov@nomail.test,new,00000011,00000012,2026-01-15T05:05:05Z,2026-01-15T05:05:10Z
0000000000000032,Анастасия,Воробьёв,+79990000032,anastasia.vorobev@nomail.test,qualified,00000012,00000013,2026-01-20T04:04:04Z,2026-01-20T08:20:20Z
0000000000000033,Полина,Котов,+79990000033,polina.kotov@nomail.test,proposal,00000013,00000014,2026-01-25T03:03:03Z,2026-01-27T09:09:09Z
0000000000000034,Людмила,Беляков,+79990000034,lyudmila.belyakov@nomail.test,won,00000014,00000015,2026-02-01T02:02:02Z,2026-02-05T06:06:06Z
0000000000000035,Галина,Савельев,+79990000035,galina.saveliev@nomail.test,lost,00000015,00000016,2026-02-05T01:01:01Z,2026-02-07T14:14:14Z
0000000000000036,Марина,Макаров,+79990000036,marina.makarov@nomail.test,new,00000016,00000017,2026-02-10T23:11:59Z,2026-02-10T23:12:05Z
0000000000000037,Ирина,Овчинников,+79990000037,irina.ovchinnikov@nomail.test,qualified,00000017,00000018,2026-02-15T22:10:10Z,2026-02-16T02:15:00Z
0000000000000038,Зоя,Романов,+79990000038,zoya.romanov@nomail.test,proposal,00000018,00000019,2026-02-20T21:09:09Z,2026-02-23T10:00:00Z
0000000000000039,София,Борисов,+79990000039,sofiya.borisov@nomail.test,won,00000019,00000020,2026-02-25T20:08:08Z,2026-03-02T12:00:00Z
0000000000000040,Лидия,Медведев,+79990000040,lidiya.medvedev@nomail.test,lost,00000020,00000001,2026-03-01T19:07:07Z,2026-03-03T09:30:00Z
0000000000000041,Айсулу,Захаров,+79990000041,aysulu.zaharov@nomail.test,new,00000001,00000002,2026-03-03T18:06:06Z,2026-03-03T18:06:10Z
0000000000000042,Данияр,Тарасов,+79990000042,daniyar.tarasov@nomail.test,qualified,00000002,00000003,2026-03-05T17:05:05Z,2026-03-05T21:05:05Z
0000000000000043,Рамазан,Комаров,+79990000043,ramazan.komarov@nomail.test,proposal,00000003,00000004,2026-01-10T16:04:04Z,2026-01-13T09:00:00Z
0000000000000044,Руслан,Голубев,+79990000044,ruslan.golubev@nomail.test,won,00000004,00000005,2026-01-15T15:03:03Z,2026-01-20T10:10:10Z
0000000000000045,Азамат,Курков,+79990000045,azamat.kurkov@nomail.test,lost,00000005,00000006,2026-01-20T14:02:02Z,2026-01-22T11:11:11Z
0000000000000046,Тимур,Матвеев,+79990000046,timur.matveev@nomail.test,new,00000006,00000007,2026-01-25T13:01:01Z,2026-01-25T13:01:06Z
0000000000000047,Магомед,Демидов,+79990000047,magomed.demidov@nomail.test,qualified,00000007,00000008,2026-02-01T12:00:59Z,2026-02-01T16:00:59Z
0000000000000048,Шамиль,Никитин,+79990000048,shamil.nikitin@nomail.test,proposal,00000008,00000009,2026-02-05T11:59:58Z,2026-02-07T09:09:09Z
0000000000000049,Булат,Прохоров,+79990000049,bulat.prokhorov@nomail.test,won,00000009,00000010,2026-02-10T11:58:57Z,2026-02-15T08:08:08Z
0000000000000050,Арсен,Громов,+79990000050,arsen.gromov@nomail.test,lost,00000010,00000011,2026-02-15T11:57:56Z,2026-02-17T13:13:13Z
0000000000000051,Салават,Сорокин,+79990000051,salavat.sorokin@nomail.test,new,00000011,00000012,2026-02-20T11:56:55Z,2026-02-20T11:56:59Z
0000000000000052,Вячеслав,Моисеев,+79990000052,vyacheslav.moiseev@nomail.test,qualified,00000012,00000013,2026-02-25T11:55:54Z,2026-02-25T15:40:00Z
0000000000000053,Степан,Царёв,+79990000053,stepan.tsarev@nomail.test,proposal,00000013,00000014,2026-03-01T11:54:53Z,2026-03-04T10:10:10Z
0000000000000054,Богдан,Иванов,+79990000054,bogdan.ivanov@nomail.test,won,00000014,00000015,2026-03-03T10:53:52Z,2026-03-09T09:09:09Z
0000000000000055,Аркадий,Смирнов,+79990000055,arkadiy.smirnov@nomail.test,lost,00000015,00000016,2026-03-05T09:52:51Z,2026-03-07T14:14:14Z
0000000000000056,Эльвира,Кузнецов,+79990000056,elvira.kuznetsov@nomail.test,new,00000016,00000017,2026-01-10T08:51:50Z,2026-01-10T08:51:54Z
0000000000000057,Ринат,Попов,+79990000057,rinat.popov@nomail.test,qualified,00000017,00000018,2026-01-15T07:50:49Z,2026-01-15T11:50:49Z
0000000000000058,Рашид,Васильев,+79990000058,rashid.vasiliev@nomail.test,proposal,00000018,00000019,2026-01-20T06:49:48Z,2026-01-22T09:09:09Z
0000000000000059,Марсель,Петров,+79990000059,marcel.petrov@nomail.test,won,00000019,00000020,2026-01-25T05:48:47Z,2026-01-28T08:08:08Z
0000000000000060,Эльдар,Соколов,+79990000060,eldar.sokolov@nomail.test,lost,00000020,00000001,2026-02-01T04:47:46Z,2026-02-03T07:07:07Z
0000000000000061,Нурлан,Михайлов,+79990000061,nurlan.mikhailov@nomail.test,new,00000001,00000002,2026-02-05T03:46:45Z,2026-02-05T03:46:49Z
